mv2g_63.dat: Qs0^2=0.2, Qs0^2_2=0.5, gamma=0.4, gamma2=1.6
mv2g_64.dat: Qs0^2=0.2, Qs0^2_2=0.5, gamma=0.4, gamma2=2.0
mv2g_65.dat: Qs0^2=0.2, Qs0^2_2=0.5, gamma=0.8, gamma2=1.2
mv2g_66.dat: Qs0^2=0.2, Qs0^2_2=0.5, gamma=0.8, gamma2=1.6
mv2g_67.dat: Qs0^2=0.2, Qs0^2_2=0.5, gamma=0.8, gamma2=2.0
mv2g_68.dat: Qs0^2=0.2, Qs0^2_2=0.5, gamma=1.2, gamma2=1.6
mv2g_69.dat: Qs0^2=0.2, Qs0^2_2=0.5, gamma=1.2, gamma2=2.0
mv2g_70.dat: Qs0^2=0.2, Qs0^2_2=0.5, gamma=1.6, gamma2=2.0
mv2g_71.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=0.4, gamma2=0.8
mv2g_72.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=0.4, gamma2=1.2
mv2g_73.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=0.4, gamma2=1.6
mv2g_74.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=0.4, gamma2=2.0
mv2g_75.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=0.8, gamma2=1.2
mv2g_76.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=0.8, gamma2=1.6
mv2g_77.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=0.8, gamma2=2.0
mv2g_78.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=1.2, gamma2=1.6
mv2g_79.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=1.2, gamma2=2.0
mv2g_80.dat: Qs0^2=0.3, Qs0^2_2=0.4, gamma=1.6, gamma2=2.0
mv2g_81.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=0.4, gamma2=0.8
mv2g_82.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=0.4, gamma2=1.2
mv2g_83.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=0.4, gamma2=1.6
mv2g_84.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=0.4, gamma2=2.0
mv2g_85.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=0.8, gamma2=1.2
mv2g_86.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=0.8, gamma2=1.6
mv2g_87.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=0.8, gamma2=2.0
mv2g_88.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=1.2, gamma2=1.6
mv2g_89.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=1.2, gamma2=2.0
mv2g_90.dat: Qs0^2=0.3, Qs0^2_2=0.5, gamma=1.6, gamma2=2.0
mv2g_91.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=0.4, gamma2=0.8
mv2g_92.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=0.4, gamma2=1.2
mv2g_93.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=0.4, gamma2=1.6
mv2g_94.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=0.4, gamma2=2.0
mv2g_95.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=0.8, gamma2=1.2
mv2g_96.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=0.8, gamma2=1.6
mv2g_97.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=0.8, gamma2=2.0
mv2g_98.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=1.2, gamma2=1.6
mv2g_99.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=1.2, gamma2=2.0
mv2g_100.dat: Qs0^2=0.4, Qs0^2_2=0.5, gamma=1.6, gamma2=2.0
